GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
clearent-idtech-android,com.clearent.idtech.android.family,DeviceFactory.new Object() {...},33,0,0,0,1,0,1,0,1,0
clearent-idtech-android,com.clearent.idtech.android.family,DeviceFactory,21,0,2,0,5,0,3,0,2,0
clearent-idtech-android,com.clearent.idtech.android.token.domain,EmvCardDataImpl,61,166,14,14,13,42,13,7,1,5
clearent-idtech-android,com.clearent.idtech.android.token.domain,MobileJwtPayload,0,10,0,0,0,5,0,3,0,3
clearent-idtech-android,com.clearent.idtech.android.token.domain,MobileJwtError,7,10,0,0,3,5,2,3,2,3
clearent-idtech-android,com.clearent.idtech.android.token.domain,MobileJwtErrorResponse,21,10,0,0,9,5,6,3,6,3
clearent-idtech-android,com.clearent.idtech.android.token.domain,TransactionTokenRequest,4,65,0,0,2,28,1,18,1,18
clearent-idtech-android,com.clearent.idtech.android.token.domain,TransactionToken,21,10,0,0,9,5,6,3,6,3
clearent-idtech-android,com.clearent.idtech.android.token.domain,MobileJwtErrorPayload,0,10,0,0,0,5,0,3,0,3
clearent-idtech-android,com.clearent.idtech.android.token.domain,MobileJwtResponse,0,21,0,0,0,10,0,5,0,5
clearent-idtech-android,com.clearent.idtech.android.token.domain,SwipeCardDataImpl,16,72,2,4,4,18,2,3,0,2
clearent-idtech-android,com.clearent.idtech.android.token.domain,MobileJwtSuccessResponse,21,10,0,0,9,5,6,3,6,3
clearent-idtech-android,com.clearent.idtech.android.token.services,TransactionTokenCreatorImpl,28,0,0,0,7,0,2,0,2,0
clearent-idtech-android,com.clearent.idtech.android.token.services,CardTokenizerImpl,129,0,6,0,35,0,8,0,5,0
clearent-idtech-android,com.clearent.idtech.android.token.services,TransactionTokenCreatorResponseHandler,10,40,0,8,3,11,0,6,0,2
clearent-idtech-android,com.clearent.idtech.android.token.services,PostTransactionTokenTask,269,0,10,0,69,0,13,0,8,0
clearent-idtech-android,com.clearent.idtech.android.token.services,TransactionTokenCreatorImpl.new PostTransactionTokenTask.AsyncResponse() {...},14,0,0,0,3,0,2,0,2,0
clearent-idtech-android,com.clearent.idtech.android.family.device,VP3300Impl,70,0,10,0,13,0,8,0,3,0
clearent-idtech-android,com.clearent.idtech.android,Logger,16,3,0,0,6,1,3,1,3,1
clearent-idtech-android,com.clearent.idtech.android,Device,2162,0,16,0,457,0,343,0,335,0
clearent-idtech-android,com.clearent.idtech.android,ClearentOnReceiverListener,571,118,81,21,152,26,71,9,27,2
clearent-idtech-android,com.clearent.idtech.android.token.utils,EmvTags,3,109,0,16,1,29,1,10,1,2
clearent-idtech-android,com.clearent.idtech.android.token.utils,Tlv,3,59,0,2,1,10,1,2,1,1
clearent-idtech-android,com.clearent.idtech.android.domain,CommunicationRequest,43,0,0,0,18,0,9,0,9,0
clearent-idtech-android,com.clearent.idtech.android.domain,AndroidDeviceCommunicationRequest,43,0,0,0,18,0,9,0,9,0
clearent-idtech-android,com.clearent.idtech.android.domain,EntryMode,125,0,4,0,16,0,8,0,6,0
clearent-idtech-android,com.clearent.idtech.android.domain,CardReadResponseCode,16,122,0,0,3,14,4,2,4,2
clearent-idtech-android,com.clearent.idtech.android.config,GetConfigurationTask,165,0,4,0,31,0,5,0,3,0
clearent-idtech-android,com.clearent.idtech.android.config,DeviceConfiguratorImpl,77,134,6,4,24,35,9,8,4,8
clearent-idtech-android,com.clearent.idtech.android.config,DeviceConfiguratorImpl.new GetConfigurationTask.AsyncResponse() {...},14,0,0,0,3,0,2,0,2,0
clearent-idtech-android,com.clearent.idtech.android.config,AndroidDeviceConfiguratorImpl.new GetAndroidConfigurationTask.AsyncResponse() {...},14,0,0,0,3,0,2,0,2,0
clearent-idtech-android,com.clearent.idtech.android.config,GetAndroidConfigurationTask,154,0,4,0,31,0,5,0,3,0
clearent-idtech-android,com.clearent.idtech.android.config,AndroidDeviceConfiguratorImpl,35,0,0,0,11,0,4,0,4,0
clearent-idtech-android,com.clearent.idtech.android.config,GetConfigurationTaskResponseHandler,331,45,31,7,62,15,24,4,5,4
clearent-idtech-android,com.clearent.idtech.android.config,GetAndroidConfigurationTaskResponseHandler,78,298,28,32,24,76,26,12,2,6
clearent-idtech-android,com.clearent.idtech.android.config.domain,AndroidConfigurationResponse,6,10,0,0,3,5,1,3,1,3
clearent-idtech-android,com.clearent.idtech.android.config.domain,MobileDevice,29,17,0,0,4,8,3,5,3,5
clearent-idtech-android,com.clearent.idtech.android.config.domain,CaPublicKey,95,0,0,0,29,0,20,0,20,0
clearent-idtech-android,com.clearent.idtech.android.config.domain,ConfigurationResponse,12,10,0,0,1,5,1,3,1,3
clearent-idtech-android,com.clearent.idtech.android.config.domain,MobileDevicePayload,12,10,0,0,1,5,1,3,1,3
clearent-idtech-android,com.clearent.idtech.android.config.domain,AndroidDevice,0,101,0,0,0,44,0,29,0,29
clearent-idtech-android,com.clearent.idtech.android.config.domain,AndroidDevicePayload,0,10,0,0,0,5,0,3,0,3
clearent-idtech-android,com.clearent.idtech.android.config.domain,MobileContactAid,17,0,0,0,8,0,5,0,5,0
clearent-idtech-android,com.clearent.idtech.android.config.domain,MobileContactlessAid,24,0,0,0,11,0,7,0,7,0
